"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"50","106.96482567282283","106.822906856441","4.879032982277444","-0.3096877134937021","0.010000000000000009","0.0043999999999999595","0.0156","1244.4444444444443","0.0003061015175105643","0","0.0003061015175105643","0.0003061015175105643","50_51:0.005623290435859657","50_51:341.3333333333333","true"
"51","223.37223504913786","278.48445031851384","4.7673640034184155","-0.31093959212206534","0.011500000000000066","0.008600000000000052","0.0144","1244.4444444444443","0.0001976455454762815","0","0.0001976455454762815","0.0001976455454762815","","","true"
"52","219.6799465243337","66.09792171856047","4.854899249347693","-0.30959763676674124","0.04499999999999993","0.056599999999999984","0.0334","1244.4444444444443","0.0016130906141139999","0","0.0016130906141139999","0.0016130906141139999","52_37:0.01887936166263962","52_37:533.3333333333333","true"
"53","193.60674987795434","227.0017451986902","4.7677906765679605","-0.3105625096653012","0.09709999999999996","0.15259999999999996","0.0416","1244.4444444444443","0.00015322186513232224","0","0.00015322186513232224","0.00015322186513232224","53_60:0.004988732413593683","53_60:533.3333333333333","true"
"54","272.1236448044718","69.13606777237483","4.821586433287452","-0.310411116462148","0.008499999999999952","0.0126","0.0043999999999999595","1244.4444444444443","0.00019074923601881743","0","0.00019074923601881743","0.00019074923601881743","54_45:0.00640544520127978","54_45:533.3333333333333","true"
"55","206.3053555779535","319.64420571719035","4.907505551608643","-0.3099926060240599","0.006000000000000005","0.006800000000000028","0.0052","1244.4444444444443","0.00019523035937982658","0","0.00019523035937982658","0.00019523035937982658","55_49:0.006797564928581773","55_49:533.3333333333333","true"
"56","173.46210689523429","16.932450054168168","4.455280719207545","-0.31803803916063483","0.03333333333333344","0.050000000000000044","0.016666666666666666","1244.4444444444443","0.0003251664806220331","0","0.0003251664806220331","0.0003251664806220331","56_52:1;56_57:1","56_52:881.7777777777777;56_57:768","true"
"57","375.9115638392183","26.242719041214585","4.834732632595024","-0.31001546755225406","0.023400000000000087","0.022","0.024800000000000044","1244.4444444444443","0.0007351064911376555","0","0.0007351064911376555","0.0007351064911376555","57_58:0.015502534599573237","57_58:533.3333333333333","true"
"58","241.78296120397064","143.4864303410186","4.708834996818232","-0.31366733324274093","0.010000000000000009","0.0128","0.007199999999999984","1244.4444444444443","0.00040180542067717515","0","0.00040180542067717515","0.00040180542067717515","","","true"
"59","377.6506538734997","403.37651428688974","4.810871384905674","-0.3102363990787504","0.029000000000000026","0.028800000000000048","0.0292","1244.4444444444443","0.000141513051000407","0","0.000141513051000407","0.000141513051000407","59_60:0.006092287728861223;59_58:0.00901132849346914","59_60:533.3333333333333;59_58:533.3333333333333","true"
"60","426.12285978976433","546.6534523132544","4.672402138905103","-0.31324002018211905","0.011700000000000044","0.01","0.013399999999999967","1244.4444444444443","0.00010809811400196517","0","0.00010809811400196517","0.00010809811400196517","","","true"
