file,param,value,succ_rate_or_frac0,exec_per_sec,succ_per_sec,num_times,ci_low,ci_high
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,19.0,0.6,5.858920100000001,3.51535206,100,0.5020007846184025,0.6906002538863971
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,0.0,0.59,5.858920299999999,3.4567629769999995,100,0.4920125056109662,0.6813284290433533
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,1.0,0.59,5.8589196,3.456762564,100,0.4920125056109662,0.6813284290433533
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,2.0,0.63,5.8589197,3.691119411,100,0.5322034757513312,0.7181778743049083
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,3.0,0.65,5.8589204,3.80829826,100,0.5525426042919797,0.7363589534652197
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,4.0,0.58,5.8589192,3.398173136,100,0.48206307998895276,0.672017750814887
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,5.0,0.54,5.8589208,3.163817232,100,0.44264685393523856,0.6343935614666815
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,6.0,0.68,5.8589202,3.984065736,100,0.5833719774632081,0.7633098918454312
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,7.0,0.68,5.8589197,3.984065396000001,100,0.5833719774632081,0.7633098918454312
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,8.0,0.65,5.8589206,3.808298390000001,100,0.5525426042919797,0.7363589534652197
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,9.0,0.63,5.8589193,3.691119159,100,0.5322034757513312,0.7181778743049083
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,10.0,0.58,5.8589213,3.398174354,100,0.48206307998895276,0.672017750814887
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,11.0,0.6,5.858918999999999,3.5153514,100,0.5020007846184025,0.6906002538863971
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,12.0,0.75,5.8589193,4.394189475,100,0.6569535362992417,0.8245490599627573
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,13.0,0.6,5.8589197,3.51535182,100,0.5020007846184025,0.6906002538863971
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,14.0,0.66,5.8589194,3.866886804,100,0.5627754565831095,0.74538620502457
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,15.0,0.65,5.8589197,3.808297805000001,100,0.5525426042919797,0.7363589534652197
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,16.0,0.62,5.8589192,3.632529904,100,0.5220957382071033,0.7090255079986562
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,17.0,0.69,5.8589195,4.042654454999999,100,0.5937376052204429,0.7722043679386762
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,18.0,0.64,5.8589196,3.749708544,100,0.542352199811621,0.7272892540950986
20240915-224257_NVQDeviceConfig_carbon_z_rot_depolar_prob_100.csv,Unnamed: 0,19.0,0.69,5.8589197,4.042654593,100,0.5937376052204429,0.7722043679386762
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,0.0,0.66,5.858920299999999,3.866887398,100,0.5627754565831095,0.74538620502457
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,1.0,0.69,5.8589204,4.042655075999999,100,0.5937376052204429,0.7722043679386762
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,2.0,0.7,5.8589199,4.10124393,100,0.6041496156718804,0.7810524613377188
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,3.0,0.74,5.8589207,4.335601317999999,100,0.6462882736813838,0.8159542187301354
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,4.0,0.56,5.858918999999999,3.28099464,100,0.4622792771125631,0.6532813459903167
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,5.0,0.58,5.8589202,3.398173716,100,0.48206307998895276,0.672017750814887
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,6.0,0.63,5.8589195,3.691119285,100,0.5322034757513312,0.7181778743049083
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,7.0,0.62,5.8589191000000005,3.632529842,100,0.5220957382071033,0.7090255079986562
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,8.0,0.59,5.8589194,3.4567624459999995,100,0.4920125056109662,0.6813284290433533
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,9.0,0.57,5.8589196,3.339584172,100,0.4721521169586435,0.6626686099947162
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,10.0,0.64,5.8589195,3.74970848,100,0.542352199811621,0.7272892540950986
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,11.0,0.62,5.8589196,3.632530152,100,0.5220957382071033,0.7090255079986562
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,12.0,0.54,5.8589198,3.163816692,100,0.44264685393523856,0.6343935614666815
20240915-224927_NVQDeviceConfig_ec_gate_depolar_prob_100.csv,Unnamed: 0,13.0,0.59,5.858920100000001,3.4567628590000004,100,0.4920125056109662,0.6813284290433533
